rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,18,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,18.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,19,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0
rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,9,0,0,0,0,0,0,0,1,2,2,0,1,0,1,1,1,2,2,0,0
rome_check_haul_coord_distance_ta_o,Check consistency of the hauls coordinates with the distance (adjusted to 100% difference),ITA,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,1,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ESP,1,0,0,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ESP,1.0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ESP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ESP,6,1,0,2,1,0,0,0,1,8,3,0,2,4,0,0,0,1,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ESP,6.0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,FRA,7,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,7,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,FRA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ITA,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ITA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ITA,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,3,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ITA,16.0,0,0,0,0,0,0,0,0,0,0,5,11,8,5,7,6,5,5,5,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,ITA,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,MLT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,MLT,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
rome_consistency_wght_frac_tc_tot_wght_tb_o,Check consistency between WEIGHT_OF_THE_FRACTION in TC and TOTAL_WEIGHT_IN_HAUL in TB,SVN,17,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ESP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,FRA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,FRA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,15,19,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,89,66,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,19,0,0,0,1,2,0,0,0,1,0,6,0,2,0,0,0,0,2,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,19.0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,ITA,9,8,9,0,0,0,0,10,0,0,0,0,1,5,4,10,0,14,0,0,0
rome_consistency_zero_weight_tot_number_tb_o,Check consistency between not null weight and not null total number,SVN,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,CYP,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ESP,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ESP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ESP,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,FRA,7,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,FRA,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,10,5,3,7,4,8,6,5,5,1,2,1,3,0,0,0,1,0,1,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,11,0,5,2,0,0,0,0,0,2,0,2,0,2,3,3,4,1,5,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,16,2,1,1,0,1,1,2,2,2,3,2,2,3,3,7,7,10,10,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,17,0,0,0,0,0,0,0,0,2,1,1,2,5,2,1,2,2,3,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,18,0,0,1,1,0,0,3,4,2,3,2,0,1,1,1,2,0,1,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,18.0,0,0,1,1,0,0,3,4,2,3,2,0,0,0,0,0,0,0,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,19,0,0,0,1,4,0,4,1,0,2,2,2,2,3,4,1,2,3,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,ITA,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
rome_diff_start_depth_hauling_depth_ta_o,Check if that difference between start depth and end depth is not greater than 20%,MLT,15,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,3,1,2,4,0
rome_duration_consistency_ta_o,Check consistency among duration start time and end time of the haul in TA,ITA,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rome_duration_consistency_ta_o,Check consistency among duration start time and end time of the haul in TA,ITA,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rome_duration_consistency_ta_o,Check consistency among duration start time and end time of the haul in TA,ITA,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rome_duration_consistency_ta_o,Check consistency among duration start time and end time of the haul in TA,ITA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,2,0,0,0
rome_duration_consistency_ta_o,Check consistency among duration start time and end time of the haul in TA,SVN,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),CYP,25,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ESP,1,5,0,2,6,10,6,7,7,2,7,0,0,1,0,0,3,1,0,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ESP,5,0,0,1,2,2,1,0,1,0,0,0,0,0,0,1,2,1,1,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ESP,6,15,3,0,6,19,7,8,4,4,3,2,0,1,1,0,1,1,2,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),FRA,7,7,0,1,6,2,2,2,2,2,0,1,0,1,0,2,1,1,1,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),FRA,8,3,2,1,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ITA,10,17,0,1,0,0,1,0,1,1,3,3,0,0,0,1,2,3,1,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ITA,11,49,36,42,57,46,39,33,50,31,26,25,62,57,49,60,57,51,46,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ITA,16,7,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ITA,17,0,0,0,0,0,0,0,0,12,6,3,13,25,29,1,1,0,0,0,0
rome_duration_distance_consistency_ta_o,Check between duration of the haul and distance (tolerance of 15%),ITA,18,2,1,0,0,1,0,0,0,1,2,0,0,1,1,2,1,2,1,0,0
